epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.574,1.04462,3.32303,1.15538,0.35979,0.60171,0.45723,0.34393,0.96283,2.08848,1.06294,0.000367168,0.000367168,0.000367168
2,208.535,1.08126,1.79965,1.15569,0.43082,0.69182,0.5768,0.4127,1.01904,2.03997,1.15639,0.0007302,0.0007302,0.0007302
3,307.574,1.05459,1.45986,1.1628,0.5282,0.53489,0.42874,0.3191,0.94082,2.8853,1.07608,0.0010859,0.0010859,0.0010859
4,419.021,1.02339,1.36923,1.1494,0.647,0.66263,0.69655,0.51891,0.9886,1.3538,1.15434,0.001078,0.001078,0.001078
5,513.292,1.01093,1.28548,1.14484,0.55486,0.73451,0.69555,0.50746,0.97213,1.27687,1.13696,0.001067,0.001067,0.001067
6,605.044,0.97014,1.25406,1.12956,0.60582,0.68236,0.71712,0.5389,0.93264,1.1373,1.10567,0.00105601,0.00105601,0.00105601
7,697.088,0.94186,1.21091,1.11299,0.67807,0.52057,0.66505,0.49244,0.9215,1.77805,1.1083,0.00104501,0.00104501,0.00104501
8,788.512,0.95329,1.19991,1.11535,0.70774,0.64004,0.74774,0.56594,0.88867,1.07202,1.06561,0.00103401,0.00103401,0.00103401
9,879.303,0.92123,1.17618,1.09496,0.77682,0.70287,0.79043,0.6218,0.87163,0.98001,1.05919,0.00102301,0.00102301,0.00102301
10,975.631,0.91853,1.1275,1.09884,0.60896,0.79723,0.77091,0.60409,0.81651,1.03809,1.01309,0.00101201,0.00101201,0.00101201
11,1068.17,0.91032,1.10062,1.0895,0.62641,0.75873,0.78593,0.62183,0.83892,1.02874,1.02462,0.00100101,0.00100101,0.00100101
12,1114.22,0.90771,1.09408,1.08796,0.66841,0.71355,0.77837,0.63133,0.79398,0.97363,1.00414,0.000990012,0.000990012,0.000990012
13,1151.07,0.88859,1.05169,1.0821,0.74291,0.69056,0.74926,0.60524,0.79861,1.0503,0.99605,0.000979013,0.000979013,0.000979013
14,1186.19,0.8837,1.04421,1.06915,0.77061,0.71553,0.81001,0.64875,0.8193,0.88966,1.01565,0.000968014,0.000968014,0.000968014
15,1224.78,0.88206,1.02768,1.07372,0.80079,0.66501,0.77709,0.63833,0.76124,0.91024,1.00378,0.000957015,0.000957015,0.000957015
16,1259.13,0.85339,1.00734,1.06358,0.73693,0.71103,0.79587,0.63877,0.79004,0.9398,1.01473,0.000946016,0.000946016,0.000946016
17,1294.89,0.85328,0.99897,1.05468,0.66783,0.6806,0.72483,0.57835,0.78175,1.14473,0.99366,0.000935018,0.000935018,0.000935018
18,1333.8,0.87301,1.02269,1.06663,0.6574,0.73137,0.79057,0.63956,0.7613,0.94136,0.99018,0.000924019,0.000924019,0.000924019
19,1369.57,0.84852,0.99197,1.05844,0.68075,0.81958,0.81739,0.63925,0.82552,0.88404,1.0499,0.00091302,0.00091302,0.00091302
20,1405.72,0.84763,0.99705,1.06585,0.63141,0.78402,0.80729,0.65268,0.7601,0.91461,0.98436,0.000902021,0.000902021,0.000902021
21,1439.02,0.83409,0.9978,1.0489,0.71727,0.76048,0.80266,0.63856,0.79779,0.95342,1.02261,0.000891022,0.000891022,0.000891022
22,1473.55,0.8439,0.97806,1.05843,0.7518,0.74122,0.80089,0.65433,0.74202,0.8783,0.97927,0.000880023,0.000880023,0.000880023
23,1507.58,0.82708,0.95296,1.05575,0.79321,0.70475,0.80206,0.65256,0.76614,0.84829,0.9996,0.000869024,0.000869024,0.000869024
